tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
112,   3652 , 1445 ,  31   , 2065, 6.31   , 3526
3181,   3653 , 1444 ,  31   , 2065, 6.31   , 3526
113,   3652 , 1436 ,  31   , 2065, 6.31   , 3519
3182,   3652 , 1435 ,  31   , 2065, 6.31   , 3518
114,   3652 , 1436 ,  31   , 2065, 6.30   , 3519
3183,   3652 , 1436 ,  31   , 2065, 6.30   , 3519
115,   3652 , 1437 ,  31   , 2065, 6.30   , 3520
3184,   3652 , 1437 ,  31   , 2065, 6.30   , 3520
116,   3652 , 1436 ,  31   , 2065, 6.30   , 3519
3185,   3652 , 1435 ,  31   , 2065, 6.30   , 3519
117,   3651 , 1438 ,  31   , 2065, 6.30   , 3521
3186,   3651 , 1438 ,  31   , 2065, 6.30   , 3522
118,   3652 , 1437 ,  31   , 2065, 6.30   , 3521
3187,   3652 , 1440 ,  31   , 2065, 6.30   , 3524
119,   3652 , 1435 ,  31   , 2065, 6.30   , 3520
3188,   3652 , 1435 ,  31   , 2065, 6.30   , 3519
120,   3654 , 1429 ,  31   , 2065, 6.30   , 3512
3189,   3654 , 1429 ,  31   , 2065, 6.30   , 3512
121,   3653 , 1430 ,  31   , 2065, 6.30   , 3515
3190,   3654 , 1428 ,  31   , 2065, 6.29   , 3512
122,   3653 , 1429 ,  31   , 2065, 6.30   , 3513
3191,   3654 , 1427 ,  31   , 2065, 6.30   , 3511
123,   3654 , 1428 ,  31   , 2065, 6.29   , 3513
3192,   3655 , 1431 ,  31   , 2065, 6.29   , 3517
124,   3653 , 1433 ,  31   , 2065, 6.29   , 3519
3193,   3653 , 1433 ,  31   , 2065, 6.29   , 3518
125,   3653 , 1429 ,  31   , 2065, 6.29   , 3514
3195,   3653 , 1428 ,  31   , 2065, 6.29   , 3513
126,   3653 , 1427 ,  31   , 2065, 6.29   , 3512
3196,   3654 , 1427 ,  31   , 2065, 6.29   , 3513
127,   3654 , 1427 ,  31   , 2065, 6.29   , 3515
3197,   3654 , 1430 ,  31   , 2065, 6.29   , 3516
128,   3654 , 1432 ,  31   , 2065, 6.29   , 3519
3198,   3653 , 1434 ,  31   , 2065, 6.29   , 3520
129,   3655 , 1434 ,  31   , 2065, 6.28   , 3520
3199,   3654 , 1438 ,  31   , 2065, 6.28   , 3524
130,   3655 , 1436 ,  31   , 2065, 6.28   , 3524
3200,   3655 , 1437 ,  31   , 2065, 6.28   , 3524
131,   3655 , 1436 ,  31   , 2065, 6.28   , 3524
